COMMON_NAME,GENUS,SPECIES,"Shade Tolerance Index",SPCD
Douglas-fir,Pseudotsuga,menziesii,0.5,202
redwood,Sequoia,sempervirens,1,211
"giant sequoia",Sequoiadendron,giganteum,0,212
"baldcypress spp.",Taxodium,spp.,0.5,220
baldcypress,Taxodium,distichum,0.5,221
pondcypress,Taxodium,ascendens,0.5,222
"Montezuma baldcypress",Taxodium,mucronatum,0.5,223
"yew spp.",Taxus,spp.,1,230
"Pacific yew",Taxus,brevifolia,1,231
"Florida yew",Taxus,floridana,1,232
"thuja spp.",Thuja,spp.,1,240
"northern white-cedar",Thuja,occidentalis,1,241
"western redcedar",Thuja,plicata,1,242
"torreya (nutmeg) spp.",Torreya,spp.,1,250
"California torreya (nutmeg)",Torreya,californica,1,251
"Florida torreya (nutmeg)",Torreya,taxifolia,0.75,252
"hemlock spp.",Tsuga,spp.,1,260
"eastern hemlock",Tsuga,canadensis,1,261
"Carolina hemlock",Tsuga,caroliniana,1,262
"western hemlock",Tsuga,heterophylla,1,263
"mountain hemlock",Tsuga,mertensiana,0.75,264
"Unknown dead conifer",Tree,evergreen,0.5,299
"acacia spp.",Acacia,spp.,0.5,300
"sweet acacia",Acacia,farnesiana,0.5,303
"catclaw acacia",Acacia,greggii,0.5,304
"maple spp.",Acer,spp.,1,310
"Florida maple",Acer,barbatum,0.75,311
"bigleaf maple",Acer,macrophyllum,1,312
boxelder,Acer,negundo,0.75,313
"black maple",Acer,nigrum,1,314
"striped maple",Acer,pensylvanicum,1,315
"red maple",Acer,rubrum,0.75,316
"silver maple",Acer,saccharinum,1,317
"sugar maple",Acer,saccharum,1,318
"mountain maple",Acer,spicatum,1,319
"Norway maple",Acer,platanoides,1,320
"Rocky Mountain maple",Acer,glabrum,1,321
"bigtooth maple",Acer,grandidentatum,1,322
"chalk maple",Acer,leucoderme,1,323
"buckeye, horsechestnut spp.",Aesculus,spp.,1,330
"Ohio buckeye",Aesculus,glabra,0.75,331
"yellow buckeye",Aesculus,flava,0.75,332
"California buckeye",Aesculus,californica,1,333
"Texas buckeye",Aesculus,glabra,1,334
"red buckeye",Aesculus,pavia,1,336
"painted buckeye",Aesculus,sylvatica,1,337
ailanthus,Ailanthus,altissima,0.25,341
"mimosa, silktree",Albizia,julibrissin,0.5,345
"alder spp.",Alnus,spp.,0,350
"red alder",Alnus,rubra,0.25,351
"white alder",Alnus,rhombifolia,,352
"Arizona alder",Alnus,oblongifolia,,353
"European alder",Alnus,glutinosa,0.25,355
"serviceberry spp.",Amelanchier,spp.,0.5,356
"common serviceberry",Amelanchier,arborea,0.5,357
"roundleaf serviceberry",Amelanchier,sanguinea,0.5,358
"madrone spp.",Arbutus,spp.,1,360
"Pacific madrone",Arbutus,menziesii,0.5,361
"Arizona madrone",Arbutus,arizonica,1,362
"Texas madrone",Arbutus,xalapensis,1,363
pawpaw,Asimina,triloba,0.5,367
"birch spp.",Betula,spp.,0.5,370
"yellow birch",Betula,alleghaniensis,0.5,371
"sweet birch",Betula,lenta,0.25,372
"river birch",Betula,nigra,0.25,373
"water birch",Betula,occidentalis,0.5,374
"paper birch",Betula,papyrifera,0.25,375
"Virginia roundleaf birch",Betula,uber,0,377
"northwestern paper birch",Betula,"x utahensis",0,378
"gray birch",Betula,populifolia,0,379
"chittamwood, gum bumelia",Sideroxylon,lanuginosum,0.5,381
"American hornbeam, musclewood",Carpinus,caroliniana,1,391
"hickory spp.",Carya,spp.,0,400
"water hickory",Carya,aquatica,0.5,401
"bitternut hickory",Carya,cordiformis,0.25,402
"pignut hickory",Carya,glabra,0.5,403
pecan,Carya,illinoinensis,0.25,404
"shellbark hickory",Carya,laciniosa,1,405
"nutmeg hickory",Carya,myristiciformis,0,406
"shagbark hickory",Carya,ovata,0.5,407
"black hickory",Carya,texana,0,408
"mockernut hickory",Carya,alba,0.25,409
"sand hickory",Carya,pallida,0,410
"scrub hickory",Carya,floridana,0,411
"red hickory",Carya,ovalis,0,412
"southern shagbark hickory",Carya,carolinae-septentrionalis,0,413
"chestnut spp.",Castanea,spp.,0.5,420
"American chestnut",Castanea,dentata,0.5,421
"Allegheny chinkapin",Castanea,pumila,0.5,422
"Ozark chinkapin",Castanea,pumila,0.5,423
"Chinese chestnut",Castanea,mollissima,0.5,424
"giant chinkapin, golden chinkapin",Chrysolepis,chrysophylla,0.5,431
"catalpa spp.",Catalpa,spp.,0,450
"southern catalpa",Catalpa,bignonioides,0,451
"northern catalpa",Catalpa,speciosa,0,452
"hackberry spp.",Celtis,spp.,0.5,460
